Question|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
How do they find or choose witnesses to an execution ?|How do|WRB|VBP|VB|DESC
What 1920s cowboy star rode Tony the Wonder Horse ?|What 1920s|WP|CD|VBD|HUM
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|What cocktail|WP|NN|VBD|ENTY
What ISPs exist in the Caribbean ?|What ISPs|WP|NNS|VBP|HUM
How do you ask a total stranger out on a date ?|How do|WRB|VBP|VB|DESC
What weapon is the mythological character Apollo most proficient with ?|What weapon|WP|NN|VBZ|ENTY
What country do the Galapagos Islands belong to ?|What country|WP|NN|VBP|LOC
What is ethology ?|What is|WP|VBZ|VBZ|DESC
Who was the prophet of the Muslim people ?|Who was|WP|VBD|VBD|HUM
Where did the term '' 86ed '' come from ?|Where did|WRB|VBD|VB|DESC
Who is Snoopy's arch-enemy ?|Who is|WP|VBZ|VBZ|HUM
What is the nature of learning ?|What is|WP|VBZ|VBZ|DESC
What's the only color Johnny Cash wears on stage ?|What 's|WP|VBZ|VBZ|ENTY
What's the term for a young fox ?|What 's|WP|VBZ|VBZ|ENTY
What U.S. state lived under six flags ?|What U.S.|WP|NNP|VBD|LOC
What is the Kashmir issue ?|What is|WP|VBZ|VBZ|DESC
Where is the Loop ?|Where is|WRB|VBZ|VBZ|LOC
What does '' extended definition '' mean and how would one write a paper on it ?|What does how would|WRB|MD|NN|DESC
What country's capital is Tirana ?|What country|WP|NN|VBZ|LOC
What is titanium ?|What is|WP|VBZ|VBZ|DESC
Who do Herb and Tootsie live next door to ?|Who do|WP|VBP|VBP|HUM
Which city has the oldest relationship as a sister�city with Los Angeles ?|Which city|WDT|NN|VBZ|LOC
What is a caldera ?|What is|WP|VBZ|VBZ|DESC
Why do people get calluses ?|Why do|WRB|VBP|VB|DESC
What are the names of the tourist attractions in Reims ?|What are|WP|VBP|VBP|LOC
What are Cushman and Wakefield known for ?|What are|WP|VBP|VBP|DESC
What body of water does the Danube River flow into ?|What body|WP|NN|VBP|LOC
Who is the founder of Scientology ?|Who is|WP|VBZ|VBZ|HUM
What does the six-footed Musca domestica become when it enters a house ?|What does when it|WRB|PRP|VBP|ENTY
What is the history of skateboarding ?|What is|WP|VBZ|VBZ|DESC
Who starred in Singing in the Rain and The Singing Nun ?|Who starred|WP|VBD|VBD|HUM
How do I make fuel bricks from recycled newspaper ?|How do|WRB|VBP|VB|DESC
What 19th-century painter died in the Marquesas Islands ?|What 19th|WP|JJ|VBD|HUM
The corpus callosum is in what part of the body ?|what part|WP|NN|VBZ|ENTY
How do I log on to home page at Headquarters U.S. European Command ?|How do|WRB|VBP|VB|DESC
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .|What country|WP|NN|VBP|LOC
What is Nebraska's most valuable resource ?|What is|WP|VBZ|VBZ|ENTY
How many species of the Great White shark are there ?|How many|WRB|JJ|VBP|NUM
What is the origin of head lice ?|What is|WP|VBZ|VBZ|DESC
What is the nickname for the state of Mississippi ?|What is|WP|VBZ|VBZ|LOC
What was the first domesticated bird ?|What was|WP|VBD|VBD|ENTY
How many villi are found in the small intestine ?|How many|WRB|JJ|VBN|NUM
What country did King Wenceslas rule ?|What country|WP|NN|NN|LOC
What is a fear of shadows ?|What is|WP|VBZ|VBZ|ENTY
Who were the five Marx brothers ?|Who were|WP|VBD|VBD|HUM
In which year was New Zealand excluded from the ANZUS alliance ?|which year|WDT|NN|VBD|NUM
When did CNN begin broadcasting ?|When did|WRB|VBD|VB|NUM
What causes the body to shiver in cold temperatures ?|What causes|WP|VBZ|VBZ|DESC
What are bear and bull markets ?|What are|WP|VBP|VBP|DESC
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|What J.R.R.|WP|NNP|VBZ|ENTY
What is '' dew point '' ?|What is|WP|VBZ|VBZ|DESC
What is the meaning of Jesus ?|What is|WP|VBZ|VBZ|DESC
What company's logo is a '' W '' in a circle ?|What company|WP|NN|VBZ|HUM
What is the definition of a cascade ?|What is|WP|VBZ|VBZ|DESC
When did Rococo painting and architecture flourish ?|When did|WRB|VBD|NN|NUM
What country's national passenger rail system is called Via ?|What country|WP|NN|VBN|LOC
Who invented Make-up ?|Who invented|WP|VBD|VBD|HUM
What is the origin of the word '' attic '' ?|What is|WP|VBZ|VBZ|DESC
What did Delilah do to Samson's hair ?|What did|WP|VBD|VB|DESC
What kind of animals were in the Paleozoic era ?|What kind|WDT|NN|VBD|ENTY
Which of the following was Rhodes Scholar ?|Which of|WDT|IN|VBD|HUM
Who comprised the now-defunct comic book team known as the Champions ?|Who comprised|WP|VBD|VBD|HUM
How do you make a paintball ?|How do|WRB|VBP|VB|DESC
What U.S. state is Fort Knox in ?|What U.S.|WP|NNP|VBZ|LOC
What is a female rabbit called ?|What is|WP|VBZ|VBZ|ENTY
Where is the highest point in Japan ?|Where is|WRB|VBZ|VBZ|LOC
Where do chihuahuas come from ?|Where do|WRB|VBP|VB|DESC
Where does Barney Rubble go to work after he drops Fred off in the '' Flintstones '' cartoon series ?|Where does|WRB|VBZ|VBP|LOC
What are the world's four oceans ?|What are|WP|VBP|VBP|LOC
What's the only work by Michelangelo that bears his signature ?|What 's that bears|WDT|VBZ|VBZ|ENTY
What is the largest snake in the world ?|What is|WP|VBZ|VBZ|ENTY
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|what medium|WP|NN|VBZ|ENTY
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|Where on|WRB|IN|VB|LOC
How much money does a back injury lawsuit get ?|How much|WRB|JJ|NN|NUM
What's the common name for acetylsalicylic acid ?|What 's|WP|VBZ|VBZ|ENTY
What does the Georgetown '' Hoya '' mean ?|What does|WP|VBZ|VB|DESC
Where can I find a list of '' classic '' books 5th and 6th graders should read ?|Where can|WRB|MD|VB|LOC
Which two products use a tiger as their symbol ?|Which two|WDT|CD|VBP|ENTY
How is the election of a new Pope announced to the world ?|How is|WRB|VBZ|VBD|DESC
How long does it take for your blood to make one complete trip through the body ?|How long|WRB|RB|VB|NUM
How do chickens have baby chicks ?|How do|WRB|VBP|VBP|DESC
What is the historical relationship of Catholic Church and bingo ?|What is|WP|VBZ|VBZ|DESC
How was the element calcium named ?|How was|WRB|VBD|VBD|DESC
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|What crooner|WP|NN|VBD|HUM
What piano company claims its product is the '' Instrument of the immortals '' ?|What piano|WP|NN|VBZ|HUM
When did the Bounty mutiny take place ?|When did|WRB|VBD|VB|NUM
What novel inspired the movie BladeRunner ?|What novel|WDT|NN|VBD|ENTY
What is a transistor ?|What is|WP|VBZ|VBZ|DESC
What is a film starring Jude Law ?|What is|WP|VBZ|VBZ|ENTY
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|What Hollywood|WP|NNP|VBD|ENTY
What are the most common elements in the Earth's crust ?|What are|WP|VBP|VBP|ENTY
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|How much|WRB|JJ|VB|NUM
What actress has received the most Oscar nominations ?|What actress|WP|NN|VBN|HUM
What are equity securities ?|What are|WP|VBP|VBP|DESC
What is gymnophobia ?|What is|WP|VBZ|VBZ|DESC
How many years do fossils take to form ?|How many|WRB|JJ|VB|NUM
Where is the Orinoco ?|Where is|WRB|VBZ|VBZ|LOC
What was the name of the '' Little Rascals '' dog ?|What was|WP|VBD|VBD|ENTY
What city boasts Penn's Landing , on the banks of the Delaware river ?|What city|WP|NN|VBZ|LOC
What Broadway musical was inspired by Cervantes's Don Quixote ?|What Broadway|WP|NNP|VBN|ENTY
What is the origin of the word , JJ .|What is|WP|VBZ|VBZ|DESC
How many hostages were killed in the Entebbe raid ?|How many|WRB|JJ|VBN|NUM
How you can raise your IQ ?|How you|WRB|PRP|VB|DESC
What does INRI stand for when used on Jesus ' cross ?|What does when used|WRB|VBN|VB|ABBR
Who produces Spumante ?|Who produces|WP|VBZ|VBZ|HUM
Who earns their money the hard way ?|Who earns|WP|VBZ|VBZ|HUM
Who founded the People's Temple Commune ?|Who founded|WP|VBD|VBD|HUM
What athlete makes the most money from sports merchandise sales ?|What athlete|WP|NN|VBZ|HUM
How many bends are there in a standard paper clip ?|How many|WRB|JJ|VBP|NUM
Who discovered electricity ?|Who discovered|WP|VBD|VBD|HUM
What part of your body contains the corpus callosum ?|What part|WP|NN|VBZ|ENTY
Who was the first American in space ?|Who was|WP|VBD|VBD|HUM
What two South American countries do n't border Brazil ?|What two|WP|CD|VB|LOC
What album put The Beatles on the cover of Time in 1967 ?|What album|WP|NN|VBD|ENTY
What poem contains the line , '' grow old with me the best is yet to be '' .|What poem|WP|NN|VBZ|ENTY
What is a dental root canal ?|What is|WP|VBZ|VBZ|DESC
What war did the Wanna-Go-Home Riots occur after ?|What war|WP|NN|VBP|ENTY
What is the busiest air travel season ?|What is|WP|VBZ|VBZ|NUM
What's the colored part of the eye called ?|What 's|WP|VBZ|VBZ|ENTY
What are hook worms ?|What are|WP|VBP|VBP|DESC
Where is the Rose Bowl played ?|Where is|WRB|VBZ|VBD|LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?|Which Japanese|WDT|JJ|VBD|HUM
Who is the mayor of Marbella ?|Who is|WP|VBZ|VBZ|HUM
What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?|What sun|WP|NN|VBZ|LOC
In what year did Thatcher become prime minister ?|what year|WDT|NN|VB|NUM
How many months does it take the moon to revolve around the Earth ?|How many|WRB|JJ|VB|NUM
Where are the 49 steps ?|Where are|WRB|VBP|VBP|LOC
In what year was De Gaulle elected president of France ?|what year|WP|NN|VBD|NUM
Who sings the themes for '' Dawson's Creek '' and '' Felicity '' ?|Who sings|WP|VBZ|VBZ|HUM
Who directed '' Jaws '' ?|Who directed|WP|VBD|VBD|HUM
On what T.V. show could Tom Terrific be found ?|what T.V.|WP|NNP|VBN|ENTY
What Indian tribe is F Troop perpetually doing battle with ?|What Indian|WP|JJ|VBZ|HUM
Where did Indian Pudding come from ?|Where did|WRB|VBD|VBN|DESC
Why do some clothing labels say '' Use a nonchlorine bleach '' ?|Why do|WRB|VBP|VBP|DESC
How many colonies were involved in the American Revolution ?|How many|WRB|JJ|VBN|NUM
What is the name of the city that Maurizio Pellegrin lives in ?|What is that Maurizio|WDT|NNP|VBZ|LOC
Where can I find pictorial directions on how to build a very simple treehouse ?|Where can how to|WRB|TO|VB|LOC
What game's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?|What game|WP|NN|VBZ|ENTY
What is the name of the managing director of Apricot Computer ?|What is|WP|VBZ|VBZ|HUM
What is the occupation of Nicholas Cage ?|What is|WP|VBZ|VBZ|HUM
Why do horseshoes bring luck ?|Why do|WRB|VBP|VB|DESC
What is the 401 , K , plan ?|What is|WP|VBZ|VBZ|DESC
What causes pneumonia ?|What causes|WP|VBZ|VBZ|DESC
What are the three winter months in the southern hemisphere ?|What are|WP|VBP|VBP|NUM
What does gringo mean ?|What does|WP|VBZ|VB|DESC
What country contains Africa's northernmost point ?|What country|WP|NN|VBZ|LOC
What therapy attempts to elicit the '' primal scream '' ?|What therapy|WP|NN|VBZ|ENTY
Where is the Kalahari desert ?|Where is|WRB|VBZ|VBZ|LOC
Which Ventura County police department seized the largest cocaine shipment in it's history ?|Which Ventura|WDT|NNP|VBD|HUM
What city is sometimes called Gotham ?|What city|WP|NN|VBN|LOC
What dangles over the tongue from the palate ?|What dangles|WP|VBZ|VBZ|ENTY
Who created Dennis the Menace ?|Who created|WP|VBD|VBD|HUM
What dummy received an honorary degree from Northwestern University ?|What dummy|WP|VBZ|VBD|HUM
When was the first Wall Street Journal published ?|When was|WRB|VBD|VBN|NUM
What countries have the largest areas of forest ?|What countries|WP|NNS|VBP|LOC
How do I start a web based business ?|How do|WRB|VBP|VB|DESC
Name Alvin's brothers||||NN|HUM
What is Eagle's syndrome styloid process ?|What is|WP|VBZ|VBZ|DESC
How did Jayne Mansfield die ?|How did|WRB|VBD|VB|DESC
When did the royal wedding of Prince Andrew and Fergie take place ?|When did|WRB|VBD|VB|NUM
What actor said in A Day at the Races : '' Either he's dead or my watch has stopped '' ?|What actor|WP|NN|VBD|HUM
What explorer was nicknamed Iberia's Pilot ?|What explorer|WP|NN|VBN|HUM
CNN began broadcasting in what year ?|what year|WP|NN|VBD|NUM
What is a ball that hits the foul pole called ?|What is that hits|WDT|VBZ|VBZ|ENTY
What makes hamburgers taste like steakburgers ?|What makes|WP|VBZ|VBZ|DESC
Which company created the Internet browser Mosaic ?|Which company|WDT|NN|VBD|HUM
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?|What are|WP|VBP|VBP|ENTY
What was the education system in the 1960's ?|What was|WP|VBD|VBD|ENTY
What South American city has the world's highest commercial landing field ?|What South|WDT|JJ|VBZ|LOC
How can I find out which cities have cable-modem access ?|How can which cities|WDT|NNS|VB|DESC
What is Betsy Ross famous for ?|What is|WP|VBZ|VBZ|DESC
How many species of sharks are there ?|How many|WRB|JJ|VBP|NUM
What is '' snoogans '' ?|What is|WP|VBZ|VBZ|DESC
How many people are there in the world ?|How many|WRB|JJ|VBP|NUM
What shrubs can be planted that will be safe from deer ?|What shrubs that will|WDT|MD|VBN|ENTY
What organization's offices were broken into at Watergate in 1972 ?|What organization|WP|NN|VBN|HUM
What is the design of the ship Titanic ?|What is|WP|VBZ|VBZ|DESC
What does S.O.S. stand for ?|What does|WP|VBZ|VB|ABBR
Name a technique widely used to detect birth defects ?||||VB|ENTY
What is the daily requirement of folic acid for an expectant mother ?|What is|WP|VBZ|VBZ|DESC
What is the '' 7-minute cigarette '' ?|What is|WP|VBZ|VBZ|DESC
What four forms does gold occur in ?|What four|WP|CD|VB|ENTY
What is the acreage of the Chappellet vineyard ?|What is|WP|VBZ|VBZ|NUM
How do you correctly say the word ' qigong ' ?|How do|WRB|VBP|VB|DESC
When did beethoven die ?|When did|WRB|VBD|VB|NUM
How much does a new railroad coal car cost ?|How much|WRB|JJ|VBZ|NUM
What two European countries entered the War of American Independence against the British ?|What two|WP|CD|VBD|LOC
What is the filmmakers collabrative ?|What is|WP|VBZ|VBZ|DESC
What Russian composer's Prelude in C Sharp Minor brought him fame and fortune ?|What Russian|WP|JJ|VBD|HUM
What caused Harry Houdini's death ?|What caused|WP|VBD|VBD|DESC
Who was the mother of the man who would not be king , the duke of Windsor ?|Who was who would|WP|MD|VBD|HUM
How many revolutions does a standard LP make in three minutes ?|How many|WRB|JJ|VBP|NUM
What is the name of the tallest mountain in the world ?|What is|WP|VBZ|VBZ|LOC
Where can I find a review of Nightmare on Elm Street in a film journal ?|Where can|WRB|MD|VB|LOC
What's the slowest Olympic swimming stroke ?|What 's|WP|VBZ|VBZ|ENTY
What was the name of the first Russian astronaut to do a spacewalk ?|What was|WP|VBD|VBD|HUM
What disease is transmitted by the Anopheles mosquito ?|What disease|WP|NN|VBN|ENTY
What rum is so '' mixable '' it is a one-brand bar ?|What rum|WP|NN|VBZ|ENTY
How many South American countries have the letter Z in their names ?|How many|WRB|JJ|VBP|NUM
What is the contents of proposition 98 ?|What is|WP|VBZ|VBZ|DESC
Where was George Washington born ?|Where was|WRB|VBD|VBN|LOC
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .|How many|WRB|JJ|VBN|NUM
Who wrote NN DT NNP NNP '' ?|Who wrote|WP|VBD|VBD|HUM
What is paracetamol ?|What is|WP|VBZ|VBZ|DESC
What are the powers and weaknesses of Green Lantern's ring ?|What are|WP|VBP|VBP|DESC
Which mosquito's bite draws blood , DT NN CC DT NN .|Which mosquito|WDT|NN|VBZ|ENTY
When was the first steel mill in the United States built ?|When was|WRB|VBD|VBD|NUM
What diminutive American female gymnast stole the show at the 1984 Olympics ?|What diminutive|WDT|JJ|VBD|HUM
What is the origin of the name Katie ?|What is|WP|VBZ|VBZ|DESC
What schools in the Washington , DC NN NN VBP NN NN NN NN .|What schools|WP|NNS|NNS|HUM
When did the Berlin Wall go up ?|When did|WRB|VBD|VB|NUM
Who is Terrence Malick ?|Who is|WP|VBZ|VBZ|HUM
What instrument is Ray Charles best known for playing ?|What instrument|WP|NN|VBZ|ENTY
What's the meaning of the Latin battle cry : Ad arma , ad arma .|What 's|WP|VBZ|VBZ|DESC
What is the mascot for Notre Dame University ?|What is|WP|VBZ|VBZ|ENTY
What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?|What Las|WP|NNP|VBD|LOC
When did Mount St. Helen last have a significant eruption ?|When did|WRB|VBD|VBP|NUM
CNN is the abbreviation for what ?|what ?|WP|.|VBZ|ABBR
When did World War I start ?|When did|WRB|VBD|VBP|NUM
How many feet are there in a fathom ?|How many|WRB|JJ|VBP|NUM
What is a Canada two-penny black ?|What is|WP|VBZ|VBZ|DESC
What European city do Nicois live in ?|What European|WP|JJ|VB|LOC
How can I find out what year a Beanie Baby was introduced ?|How can what year|WP|NN|VB|DESC
What is the classic definition of tragic hero ?|What is|WP|VBZ|VBZ|DESC
To what does Microsoft's Windows 3 owe its success ?|what does|WP|VBZ|IN|ENTY
Who was President of Afghanistan in 1994 ?|Who was|WP|VBD|VBD|HUM
What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?|What are|WP|VBP|VBP|ENTY
What did brontosauruses eat ?|What did|WP|VBD|VB|ENTY
What color bottles do good Rhine wines come in ?|What color|WP|NN|VBP|ENTY
Who was the lead actress in the movie ' Sleepless in Seattle ' ?|Who was|WP|VBD|VBD|HUM
Who was the 16th President of the United States ?|Who was|WP|VBD|VBD|HUM
Who are the two sons of Ozzie and Harriet Nelson ?|Who are|WP|VBP|VBP|HUM
What is molybdenum ?|What is|WP|VBZ|VBZ|DESC
When is Boxing Day ?|When is|WRB|VBZ|VBZ|NUM
What is the lowest level of the American judiciary ?|What is|WP|VBZ|VBZ|ENTY
When was the battle of the Somme fought ?|When was|WRB|VBD|VBD|NUM
How many people did Randy Craft kill ?|How many|WRB|JJ|VB|NUM
What's the official animal of Canada ?|What 's|WP|VBZ|VBZ|ENTY
When did Spielberg direct '' Jaws '' ?|When did|WRB|VBD|VB|NUM
What is the size of the largest akita ?|What is|WP|VBZ|VBZ|NUM
What animal has the biggest eyes ?|What animal|WP|NN|VBZ|ENTY
What is California's capital ?|What is|WP|VBZ|VBZ|LOC
Who was the author of the book about computer hackers called '' The Cuckoo's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?|Who was|WP|VBD|VBD|HUM
Who was the founding member of the Pink Floyd band ?|Who was|WP|VBD|VBD|HUM
What European country is home to the beer-producing city of Budweis ?|What European|WP|JJ|VBZ|LOC
How do I find the balance of my social security account ?|How do|WRB|VBP|VB|DESC
What is the history of Valentine's Day cards ?|What is|WP|VBZ|VBZ|DESC
Where was Christopher Columbus born ?|Where was|WRB|VBD|VBN|LOC
What do Italians call Florence ?|What do|WP|VBP|VB|ENTY
How do you get to the top of the Eiffel Tower ?|How do|WRB|VBP|VB|DESC
What does ' PSI ' stand for ?|What does|WP|VBZ|VB|ABBR
What sea did the Romans call mare nostrum ?|What sea|WP|NN|VBP|LOC
What's the term for a bet before cards are dealt ?|What 's|WP|VBZ|VBZ|ENTY
Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?|Which came|WDT|VBD|VBD|ENTY
What city did the Flintstones live in ?|What city|WP|NN|VBP|LOC
What is Latin for incompetent ?|What is|WP|VBZ|VBZ|ENTY
What chemicals are used in lethal injection ?|What chemicals|WDT|NNS|VBN|ENTY
What toy company is the world's No.1 maker of female apparel ?|What toy|WP|NN|VBZ|HUM
What board game does a '' wood-pusher '' play poorly ?|What board|WP|NN|VB|ENTY
Which Doonesbury character was likely to turn into a werewolf ?|Which Doonesbury|WDT|NN|VBD|HUM
What is the abbreviation for micro ?|What is|WP|VBZ|VBZ|ABBR
What are the 7 articles of the constitution ?|What are|WP|VBP|VBP|ENTY
Who has won the most Super Bowls ?|Who has|WP|VBZ|VBN|HUM
What does NASDAQ stand for ?|What does|WP|VBZ|VB|ABBR
What is BPH ?|What is|WP|VBZ|VBZ|ABBR
What is the fastest commercial automobile that can be bought in the US ?|What is that can|WDT|MD|VBZ|ENTY
What stadium do the Miami Dolphins play their home games in ?|What stadium|WP|NN|VBP|LOC
Who has the only speaking role in '' Silent Movie '' ?|Who has|WP|VBZ|VBZ|HUM
Why is poop sometimes different colors ?|Why is|WRB|VBZ|VBZ|DESC
What was Einstein's IQ ?|What was|WP|VBD|VBD|NUM
What day was Pearl Harbor attacked in 1942 ?|What day|WDT|NN|VBD|NUM
What girl's name is '' Teddy '' an affectionate form of ?|What girl|WP|NN|VBZ|HUM
What state is John F. Kennedy buried in ?|What state|WP|NN|VBZ|LOC
What is the best way to remove wallpaper ?|What is|WP|VBZ|VBZ|ENTY
What U.S. state has an element named for it ?|What U.S.|WP|NNP|VBZ|LOC
What company tabulates the ballots in voting for the Academy Awards ?|What company|WP|NN|VBZ|HUM
How did the tradition of best man start ?|How did|WRB|VBD|VB|DESC
How many years ago did the ship Titanic sink ?|How many|WRB|JJ|VBD|NUM
What is the deepest area of the Arctic Ocean ?|What is|WP|VBZ|VBZ|LOC
What are Halloween's colors ?|What are|WP|VBP|VBP|ENTY
How is silk screening done ?|How is|WRB|VBZ|VBN|DESC
What is the latitude and longitude of El Paso , Texas ?|What is|WP|VBZ|VBZ|NUM
Who made a boat out of gopher wood ?|Who made|WP|VBD|VBD|HUM
Where can I find a '' Fifth Element '' screensaver ?|Where can|WRB|MD|VB|LOC
Which Bloom County resident wreaks havoc with a computer ?|Which Bloom|WDT|NNP|VBZ|HUM
How do you match a name to a social security number ?|How do|WRB|VBP|VB|DESC
How does a rainbow form ?|How does|WRB|VBZ|NN|DESC
What is the normal resting heart rate of a healthy adult ?|What is|WP|VBZ|VBZ|NUM
What is the population of Ohio ?|What is|WP|VBZ|VBZ|NUM
How many calories are there in a Big Mac ?|How many|WRB|JJ|VBP|NUM
Hazmat stands for what ?|what ?|WP|.|VBZ|DESC
What creature scares people in the film '' Jaws '' ?|What creature|WP|NN|VBZ|ENTY
What part did John Peter Zenger play in the deveopment of the newspaper in America ?|What part|WP|NN|VB|HUM
Who followed Caesar ?|Who followed|WP|VBD|VBD|HUM
What are the four elements ?|What are|WP|VBP|VBP|ENTY
Who was the first woman golfer to earn a million ?|Who was|WP|VBD|VBD|HUM
What's the tallest piece on a chessboard ?|What 's|WP|VBZ|VBZ|ENTY
What is Answers.com's address ?|What is|WP|VBZ|VBZ|LOC
Where can I buy movies on videotape online ?|Where can|WRB|MD|VB|LOC
Who does the advertizing for Frito-Lay ?|Who does|WP|VBZ|VBZ|HUM
Who is the leading competitor of Trans Union Company ?|Who is|WP|VBZ|VBZ|HUM
What product did Robert Conrad dare people to knock off his shoulder ?|What product|WP|NN|VB|ENTY
Who invented the radio ?|Who invented|WP|VBD|VBD|HUM
What's the American dollar equivalent for 8 pounds in the U.K. ?|What 's|WP|VBZ|VBZ|NUM
What are the different approaches of systems analysis ?|What are|WP|VBP|VBP|ENTY
How do doctors diagnose bone cancer ?|How do|WRB|VBP|VB|DESC
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?|Who is who pulls|WP|VBZ|VBZ|HUM
What is the speed of the Mississippi River ?|What is|WP|VBZ|VBZ|NUM
What are the developmental stages of a swimmer ?|What are|WP|VBP|VBP|ENTY
What actor first portrayed James Bond ?|What actor|WP|NN|VBD|HUM
What ocean is the largest in the world ?|What ocean|WP|NN|VBZ|LOC
Who was the first American poet to win the Nobel Prize for literature , in 1948 ?|Who was|WP|VBD|VBD|HUM
What year did Jack Nicklaus join the Professional Golfers Association tour ?|What year|WDT|NN|VB|NUM
How many sonnets did Shakespeare write ?|How many|WRB|JJ|VB|NUM
What causes the redness in your cheeks when you blush ?|What causes when you|WRB|PRP|VBZ|DESC
Who won the Nobel Peace Prize in 1991 ?|Who won|WP|VBD|VBD|HUM
Who are the Challengers of the Unknown ?|Who are|WP|VBP|VBP|HUM
Define the Pheonix Club ?||||VB|DESC
Which city did Christian Crusaders fight to recapture from the Muslims ?|Which city|WDT|NN|VBP|LOC
What does it mean '' Rupee Depreciates '' ?|What does|WP|VBZ|VB|DESC
What gaming devices were dubbed '' Mississippi marbles '' and '' Memphis dominoes '' ?|What gaming|WP|NN|VBN|ENTY
Who was the first coach of the Cleveland Browns ?|Who was|WP|VBD|VBD|HUM
How successful is arometherapy ?|How successful|WRB|JJ|VBZ|DESC
