#Question|QType|F-POS|F-DEP|F-ENT|F-SHAPE|F-TXT|Class
Name the scar-faced bounty hunter of The Old West .|HUM|NN|compound|NON|xxxx|bounty|NF
Name the scar-faced bounty hunter of The Old West .|HUM|NN|dobj|NON|xxxx|hunter|NF
Name the scar-faced bounty hunter of The Old West .|HUM|NNP|compound|PERSON|Xxx|Old|NF
Name the scar-faced bounty hunter of The Old West .|HUM|NNP|pobj|PERSON|Xxxx|West|NF
When was Ozzy Osbourne born ?|NUM|VBD|auxpass|NON|xxx|was|NF
When was Ozzy Osbourne born ?|NUM|NNP|compound|PERSON|Xxxx|Ozzy|NF
When was Ozzy Osbourne born ?|NUM|NNP|nsubjpass|PERSON|Xxxxx|Osbourne|NF
When was Ozzy Osbourne born ?|NUM|VBN|ROOT|NON|xxxx|born|NF
Why do heavier objects travel downhill faster ?|DESC|VBP|aux|NON|xx|do|NF
Why do heavier objects travel downhill faster ?|DESC|JJR|amod|NON|xxxx|heavier|NF
Why do heavier objects travel downhill faster ?|DESC|NNS|nsubj|NON|xxxx|objects|NF
Why do heavier objects travel downhill faster ?|DESC|VBP|ROOT|NON|xxxx|travel|NF
Who was The Pride of the Yankees ?|HUM|WP|attr|NON|Xxx|Who|NF
Who was The Pride of the Yankees ?|HUM|VBD|ROOT|NON|xxx|was|NF
Who was The Pride of the Yankees ?|HUM|NNP|nsubj|PERSON|Xxxxx|Pride|NF
Who was The Pride of the Yankees ?|HUM|NNPS|pobj|ORG|Xxxxx|Yankees|NF
Who killed Gandhi ?|HUM|WP|nsubj|NON|Xxx|Who|NF
Who killed Gandhi ?|HUM|VBD|ROOT|NON|xxxx|killed|NF
Who killed Gandhi ?|HUM|NNP|dobj|PERSON|Xxxxx|Gandhi|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|WP|nsubjpass|NON|Xxxx|What|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBZ|auxpass|NON|xx|is|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBN|ROOT|NON|xxxx|considered|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|JJS|amod|NON|xxxx|costliest|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|oprd|NON|xxxx|disaster|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|compound|NON|xxxx|insurance|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|nsubj|NON|xxxx|industry|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBZ|aux|NON|xxx|has|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBN|relcl|NON|xxxx|faced|NF
What sprawling U.S. state boasts the most airports ?|LOC|WP|det|NON|Xxxx|What|NF
What sprawling U.S. state boasts the most airports ?|LOC|VBG|amod|NON|xxxx|sprawling|NF
What sprawling U.S. state boasts the most airports ?|LOC|NNP|compound|GPE|X.X.|U.S.|NF
What sprawling U.S. state boasts the most airports ?|LOC|NN|nsubj|NON|xxxx|state|NF
What sprawling U.S. state boasts the most airports ?|LOC|VBZ|ROOT|NON|xxxx|boasts|NF
What sprawling U.S. state boasts the most airports ?|LOC|JJS|amod|NON|xxxx|most|NF
What sprawling U.S. state boasts the most airports ?|LOC|NNS|dobj|NON|xxxx|airports|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|WP|dobj|NON|Xxxx|What|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|VBD|ROOT|NON|xxx|did|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|VBN|amod|NON|xxxx|repealed|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NN|dobj|NON|xxxx|amendment|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NNP|compound|ORG|X.X.|U.S.|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NNP|pobj|ORG|Xxxxx|Constitution|NF
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NN|advcl|NON|xxxx|deal|NF
How many Jews were executed in concentration camps during WWII ?|NUM|JJ|amod|NON|xxxx|many|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NNPS|nsubjpass|NORP|Xxxx|Jews|NF
How many Jews were executed in concentration camps during WWII ?|NUM|VBD|auxpass|NON|xxxx|were|NF
How many Jews were executed in concentration camps during WWII ?|NUM|VBN|ROOT|NON|xxxx|executed|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NN|compound|NON|xxxx|concentration|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NNS|pobj|NON|xxxx|camps|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NNP|pobj|EVENT|XXXX|WWII|NF
What is '' Nine Inch Nails '' ?|DESC|WP|attr|NON|Xxxx|What|NF
What is '' Nine Inch Nails '' ?|DESC|VBZ|ROOT|NON|xx|is|NF
What is an annotated bibliography ?|DESC|WP|nsubj|NON|Xxxx|What|NF
What is an annotated bibliography ?|DESC|VBZ|ROOT|NON|xx|is|NF
What is an annotated bibliography ?|DESC|JJ|amod|NON|xxxx|annotated|NF
What is an annotated bibliography ?|DESC|NN|attr|NON|xxxx|bibliography|NF
What is the date of Boxing Day ?|NUM|WP|attr|NON|Xxxx|What|NF
What is the date of Boxing Day ?|NUM|VBZ|ROOT|NON|xx|is|NF
What is the date of Boxing Day ?|NUM|NN|nsubj|NON|xxxx|date|NF
What is the date of Boxing Day ?|NUM|NNP|compound|EVENT|Xxxxx|Boxing|NF
What is the date of Boxing Day ?|NUM|NNP|pobj|EVENT|Xxx|Day|NF
What articles of clothing are tokens in Monopoly ?|ENTY|WP|det|NON|Xxxx|What|NF
What articles of clothing are tokens in Monopoly ?|ENTY|NNS|nsubj|NON|xxxx|articles|NF
What articles of clothing are tokens in Monopoly ?|ENTY|NN|pobj|NON|xxxx|clothing|NF
What articles of clothing are tokens in Monopoly ?|ENTY|VBP|ROOT|NON|xxx|are|NF
What articles of clothing are tokens in Monopoly ?|ENTY|NNS|attr|NON|xxxx|tokens|NF
What articles of clothing are tokens in Monopoly ?|ENTY|NNP|pobj|FAC|Xxxxx|Monopoly|NF
Name 11 famous martyrs .|HUM|NN|ROOT|NON|Xxxx|Name|NF
Name 11 famous martyrs .|HUM|CD|nummod|CARDINAL|dd|11|NF
Name 11 famous martyrs .|HUM|JJ|amod|NON|xxxx|famous|NF
Name 11 famous martyrs .|HUM|NNS|dobj|NON|xxxx|martyrs|NF
What's the Olympic motto ?|DESC|WP|attr|NON|Xxxx|What|NF
What's the Olympic motto ?|DESC|VBZ|ROOT|NON|'x|'s|NF
What's the Olympic motto ?|DESC|JJ|amod|NON|Xxxxx|Olympic|NF
What's the Olympic motto ?|DESC|NN|nsubj|NON|xxxx|motto|NF
What is the origin of the name ' Scarlett ' ?|DESC|WP|attr|NON|Xxxx|What|NF
What is the origin of the name ' Scarlett ' ?|DESC|VBZ|ROOT|NON|xx|is|NF
What is the origin of the name ' Scarlett ' ?|DESC|NN|nsubj|NON|xxxx|origin|NF
What is the origin of the name ' Scarlett ' ?|DESC|NN|pobj|NON|xxxx|name|NF
What is the origin of the name ' Scarlett ' ?|DESC|NNP|appos|PERSON|Xxxxx|Scarlett|NF
What's the second-most-used vowel in English ?|ENTY|WP|attr|NON|Xxxx|What|NF
What's the second-most-used vowel in English ?|ENTY|VBZ|ROOT|NON|'x|'s|NF
What's the second-most-used vowel in English ?|ENTY|JJ|advmod|ORDINAL|xxxx|second|NF
What's the second-most-used vowel in English ?|ENTY|VBN|amod|NON|xxxx|used|NF
What's the second-most-used vowel in English ?|ENTY|NN|nsubj|NON|xxxx|vowel|NF
What's the second-most-used vowel in English ?|ENTY|NNP|pobj|LANGUAGE|Xxxxx|English|NF
Who was the inventor of silly putty ?|HUM|WP|attr|NON|Xxx|Who|NF
Who was the inventor of silly putty ?|HUM|VBD|ROOT|NON|xxx|was|NF
Who was the inventor of silly putty ?|HUM|NN|attr|NON|xxxx|inventor|NF
Who was the inventor of silly putty ?|HUM|JJ|pobj|NON|xxxx|silly|NF
What is the highest waterfall in the United States ?|LOC|WP|attr|NON|Xxxx|What|NF
What is the highest waterfall in the United States ?|LOC|VBZ|ROOT|NON|xx|is|NF
What is the highest waterfall in the United States ?|LOC|JJS|amod|NON|xxxx|highest|NF
What is the highest waterfall in the United States ?|LOC|NN|attr|NON|xxxx|waterfall|NF
What is the highest waterfall in the United States ?|LOC|NNP|compound|GPE|Xxxxx|United|NF
What is the highest waterfall in the United States ?|LOC|NNP|pobj|GPE|Xxxxx|States|NF
Name a golf course in Myrtle Beach .|ENTY|VB|ROOT|NON|Xxxx|Name|NF
Name a golf course in Myrtle Beach .|ENTY|NN|compound|NON|xxxx|golf|NF
Name a golf course in Myrtle Beach .|ENTY|NN|dobj|NON|xxxx|course|NF
Name a golf course in Myrtle Beach .|ENTY|NNP|compound|GPE|Xxxxx|Myrtle|NF
Name a golf course in Myrtle Beach .|ENTY|NNP|pobj|GPE|Xxxxx|Beach|NF
Which two states enclose Chesapeake Bay ?|LOC|WDT|det|NON|Xxxxx|Which|NF
Which two states enclose Chesapeake Bay ?|LOC|CD|nummod|CARDINAL|xxx|two|NF
Which two states enclose Chesapeake Bay ?|LOC|NNS|nsubj|NON|xxxx|states|NF
Which two states enclose Chesapeake Bay ?|LOC|VBP|ROOT|NON|xxxx|enclose|NF
Which two states enclose Chesapeake Bay ?|LOC|NNP|compound|LOC|Xxxxx|Chesapeake|NF
Which two states enclose Chesapeake Bay ?|LOC|NNP|dobj|LOC|Xxx|Bay|NF
What does the abbreviation AIDS stand for ?|ABBR|WP|"pobj||prep"|NON|Xxxx|What|NF
What does the abbreviation AIDS stand for ?|ABBR|VBZ|aux|NON|xxxx|does|NF
What does the abbreviation AIDS stand for ?|ABBR|NN|nsubj|NON|xxxx|abbreviation|NF
What does the abbreviation AIDS stand for ?|ABBR|NNP|nsubj|NON|XXXX|AIDS|NF
What does the abbreviation AIDS stand for ?|ABBR|VB|ROOT|NON|xxxx|stand|NF
What does a spermologer collect ?|ENTY|WP|dobj|NON|Xxxx|What|NF
What does a spermologer collect ?|ENTY|VBZ|aux|NON|xxxx|does|NF
What does a spermologer collect ?|ENTY|NN|nsubj|NON|xxxx|spermologer|NF
What does a spermologer collect ?|ENTY|VB|ROOT|NON|xxxx|collect|NF
How many points make up a perfect fivepin bowling score ?|NUM|JJ|amod|NON|xxxx|many|NF
How many points make up a perfect fivepin bowling score ?|NUM|NNS|nsubj|NON|xxxx|points|NF
How many points make up a perfect fivepin bowling score ?|NUM|VBP|ROOT|NON|xxxx|make|NF
How many points make up a perfect fivepin bowling score ?|NUM|JJ|amod|NON|xxxx|perfect|NF
How many points make up a perfect fivepin bowling score ?|NUM|NN|compound|NON|xxxx|fivepin|NF
How many points make up a perfect fivepin bowling score ?|NUM|NN|compound|NON|xxxx|bowling|NF
How many points make up a perfect fivepin bowling score ?|NUM|NN|dobj|NON|xxxx|score|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|WDT|det|NON|Xxxxx|Which|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|nsubj|NON|xxxx|company|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|WDT|nsubj|NON|xxxx|that|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|VBZ|relcl|NON|xxxx|manufactures|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|compound|NON|xxxx|video|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|compound|NON|xxxx|game|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|dobj|NON|xxxx|hardware|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|VBZ|ROOT|NON|xxxx|sells|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|JJ|amod|NON|xxxx|super|NF
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|dobj|NON|xxxx|system|NF
How many Community Chest cards are there in Monopoly ?|NUM|JJ|amod|NON|xxxx|many|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNP|compound|NON|Xxxxx|Community|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNP|compound|NON|Xxxxx|Chest|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNS|nsubj|NON|xxxx|cards|NF
How many Community Chest cards are there in Monopoly ?|NUM|VBP|ROOT|NON|xxx|are|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNP|pobj|NON|Xxxxx|Monopoly|NF
What do Mormons believe ?|DESC|WP|dobj|NON|Xxxx|What|NF
What do Mormons believe ?|DESC|VBP|aux|NON|xx|do|NF
What do Mormons believe ?|DESC|NNS|nsubj|NORP|Xxxxx|Mormons|NF
What do Mormons believe ?|DESC|VB|ROOT|NON|xxxx|believe|NF
When did the neanderthal man live ?|NUM|VBD|aux|NON|xxx|did|NF
When did the neanderthal man live ?|NUM|NN|compound|NON|xxxx|neanderthal|NF
When did the neanderthal man live ?|NUM|NN|nsubj|NON|xxx|man|NF
When did the neanderthal man live ?|NUM|VB|ROOT|NON|xxxx|live|NF
In what religion was Isis the nature goddess ?|ENTY|WP|attr|NON|xxxx|what|NF
In what religion was Isis the nature goddess ?|ENTY|NN|nsubj|NON|xxxx|religion|NF
In what religion was Isis the nature goddess ?|ENTY|VBD|pcomp|NON|xxx|was|NF
In what religion was Isis the nature goddess ?|ENTY|NNP|prep|LOC|Xxxx|Isis|NF
In what religion was Isis the nature goddess ?|ENTY|NN|compound|NON|xxxx|nature|NF
In what religion was Isis the nature goddess ?|ENTY|NN|appos|NON|xxxx|goddess|NF
Where do the adventures of '' The Swiss Family Robinson '' take place ?|LOC|VBP|advmod|NON|xx|do|NF
Where do the adventures of '' The Swiss Family Robinson '' take place ?|LOC|NNS|nsubj|NON|xxxx|adventures|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|WP|det|NON|Xxxx|What|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|nsubjpass|NON|xxxx|relative|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|pobj|NON|xxxx|racoon|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|VBZ|auxpass|NON|xx|is|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|VBN|ROOT|NON|xxxx|known|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|compound|NON|xxx|cat|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|pobj|NON|xxxx|bear|NF
How can I register my website in Yahoo for free ?|DESC|MD|aux|NON|xxx|can|NF
How can I register my website in Yahoo for free ?|DESC|VB|ROOT|NON|xxxx|register|NF
How can I register my website in Yahoo for free ?|DESC|PRP$|poss|NON|xx|my|NF
How can I register my website in Yahoo for free ?|DESC|NN|dobj|NON|xxxx|website|NF
How can I register my website in Yahoo for free ?|DESC|NNP|pobj|GPE|Xxxxx|Yahoo|NF
How can I register my website in Yahoo for free ?|DESC|JJ|amod|NON|xxxx|free|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|WP|attr|NON|Xxxx|What|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|VBD|ROOT|NON|xxx|was|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NN|npadvmod|NON|xxxx|cash|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|JJ|acomp|NON|xxxx|conscious|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|NON|Xxxxx|Colonel|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|PERSON|Xxxxx|Edwin|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|PERSON|X.|L.|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|nsubj|PERSON|Xxxxx|Drake|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|JJ|attr|ORDINAL|xxxx|first|NF
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|VB|relcl|NON|xxxx|drill|NF
How many people in the world speak French ?|NUM|JJ|amod|NON|xxxx|many|NF
How many people in the world speak French ?|NUM|NNS|nsubj|NON|xxxx|people|NF
How many people in the world speak French ?|NUM|NN|pobj|NON|xxxx|world|NF
How many people in the world speak French ?|NUM|VB|ROOT|NON|xxxx|speak|NF
How many people in the world speak French ?|NUM|NNP|dobj|LANGUAGE|Xxxxx|French|NF
How many inches over six feet is the Venus de Milo ?|NUM|JJ|amod|NON|xxxx|many|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNS|nsubj|NON|xxxx|inches|NF
How many inches over six feet is the Venus de Milo ?|NUM|CD|nummod|NON|xxx|six|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNS|pobj|NON|xxxx|feet|NF
How many inches over six feet is the Venus de Milo ?|NUM|VBZ|ROOT|NON|xx|is|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNP|compound|NON|Xxxxx|Venus|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNP|compound|NON|xx|de|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNP|attr|NON|Xxxx|Milo|NF
How do they find or choose witnesses to an execution ?|DESC|VBP|aux|NON|xx|do|NF
How do they find or choose witnesses to an execution ?|DESC|VB|ROOT|NON|xxxx|find|NF
How do they find or choose witnesses to an execution ?|DESC|VB|conj|NON|xxxx|choose|NF
How do they find or choose witnesses to an execution ?|DESC|NNS|dobj|NON|xxxx|witnesses|NF
How do they find or choose witnesses to an execution ?|DESC|NN|pobj|NON|xxxx|execution|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|WP|det|NON|Xxxx|What|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|CD|nummod|DATE|ddddx|1920s|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|JJ|amod|NON|xxxx|cowboy|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NN|nsubj|NON|xxxx|star|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|VBD|ROOT|NON|xxxx|rode|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|dobj|PERSON|Xxxx|Tony|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|compound|NON|Xxxxx|Wonder|NF
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|dobj|NON|Xxxxx|Horse|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|WP|dobj|NON|Xxxx|What|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NN|nsubj|NON|xxxx|cocktail|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|VBN|ROOT|NON|xxxx|inspired|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NNP|compound|PERSON|Xxxx|John|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NNP|dobj|PERSON|Xxxxx|Doxat|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|VB|xcomp|NON|xxxx|write|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NN|dobj|NON|xxxx|book|NF
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|VBN|acl|NON|Xxxxx|Stirred|NF
What ISPs exist in the Caribbean ?|HUM|WP|dobj|NON|Xxxx|What|NF
What ISPs exist in the Caribbean ?|HUM|VBZ|nsubj|NON|XXXx|ISPs|NF
What ISPs exist in the Caribbean ?|HUM|VBP|ROOT|NON|xxxx|exist|NF
What ISPs exist in the Caribbean ?|HUM|NNP|pobj|LOC|Xxxxx|Caribbean|NF
How do you ask a total stranger out on a date ?|DESC|VBP|aux|NON|xx|do|NF
How do you ask a total stranger out on a date ?|DESC|VB|ROOT|NON|xxx|ask|NF
How do you ask a total stranger out on a date ?|DESC|JJ|amod|NON|xxxx|total|NF
How do you ask a total stranger out on a date ?|DESC|NN|dobj|NON|xxxx|stranger|NF
How do you ask a total stranger out on a date ?|DESC|NN|pobj|NON|xxxx|date|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|WP|det|NON|Xxxx|What|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|NN|nsubj|NON|xxxx|weapon|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|VBZ|ROOT|NON|xx|is|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|JJ|amod|NON|xxxx|mythological|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|NN|attr|NON|xxxx|character|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|NNP|appos|ORG|Xxxxx|Apollo|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|JJ|amod|NON|xxxx|proficient|NF
What country do the Galapagos Islands belong to ?|LOC|WP|det|NON|Xxxx|What|NF
What country do the Galapagos Islands belong to ?|LOC|NN|dobj|NON|xxxx|country|NF
What country do the Galapagos Islands belong to ?|LOC|VBP|aux|NON|xx|do|NF
What country do the Galapagos Islands belong to ?|LOC|NNP|compound|LOC|Xxxxx|Galapagos|NF
What country do the Galapagos Islands belong to ?|LOC|NNPS|nsubj|LOC|Xxxxx|Islands|NF
What country do the Galapagos Islands belong to ?|LOC|VBP|ROOT|NON|xxxx|belong|NF
What is ethology ?|DESC|WP|attr|NON|Xxxx|What|NF
What is ethology ?|DESC|VBZ|ROOT|NON|xx|is|NF
What is ethology ?|DESC|NN|nsubj|NON|xxxx|ethology|NF
Who was the prophet of the Muslim people ?|HUM|WP|attr|NON|Xxx|Who|NF
Who was the prophet of the Muslim people ?|HUM|VBD|ROOT|NON|xxx|was|NF
Who was the prophet of the Muslim people ?|HUM|NN|attr|NON|xxxx|prophet|NF
Who was the prophet of the Muslim people ?|HUM|JJ|amod|NORP|Xxxxx|Muslim|NF
Who was the prophet of the Muslim people ?|HUM|NNS|pobj|NON|xxxx|people|NF
Where did the term '' 86ed '' come from ?|DESC|VBD|aux|NON|xxx|did|NF
Where did the term '' 86ed '' come from ?|DESC|NN|nsubj|NON|xxxx|term|NF
Where did the term '' 86ed '' come from ?|DESC|NN|appos|NON|ddxx|86ed|NF
Where did the term '' 86ed '' come from ?|DESC|VBN|ROOT|NON|xxxx|come|NF
Who is Snoopy's arch-enemy ?|HUM|WP|nsubj|NON|Xxx|Who|NF
Who is Snoopy's arch-enemy ?|HUM|VBZ|ROOT|NON|xx|is|NF
Who is Snoopy's arch-enemy ?|HUM|NNP|poss|ORG|Xxxxx|Snoopy|NF
Who is Snoopy's arch-enemy ?|HUM|NN|compound|NON|xxxx|arch|NF
