#Question|QType|F-POS|F-DEP|F-ENT|F-SHAPE|F-TXT|Class
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|JJS|amod|NON|xxxx|costliest|F
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|oprd|NON|xxxx|disaster|F
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|compound|NON|xxxx|insurance|F
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|NN|nsubj|NON|xxxx|industry|F
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBZ|aux|NON|xxx|has|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|RB|advmod|NON|xxxx|ever|NF
What is considered the costliest disaster the insurance industry has ever faced ?|ENTY|VBN|relcl|NON|xxxx|faced|F
What sprawling U.S. state boasts the most airports ?|LOC|VBG|amod|NON|xxxx|sprawling|F
What sprawling U.S. state boasts the most airports ?|LOC|NNP|compound|GPE|X.X.|U.S.|F
What sprawling U.S. state boasts the most airports ?|LOC|NN|nsubj|NON|xxxx|state|F
What sprawling U.S. state boasts the most airports ?|LOC|JJS|amod|NON|xxxx|most|F
What sprawling U.S. state boasts the most airports ?|LOC|NNS|dobj|NON|xxxx|airports|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|RB|advmod|NON|xxxx|only|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|VBN|amod|NON|xxxx|repealed|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NN|dobj|NON|xxxx|amendment|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NNP|compound|ORG|X.X.|U.S.|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NNP|pobj|ORG|Xxxxx|Constitution|F
What did the only repealed amendment to the U.S. Constitution deal with ?|DESC|NN|advcl|NON|xxxx|deal|F
How many Jews were executed in concentration camps during WWII ?|NUM|JJ|amod|NON|xxxx|many|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NNPS|nsubjpass|NORP|Xxxx|Jews|F
How many Jews were executed in concentration camps during WWII ?|NUM|VBD|auxpass|NON|xxxx|were|NF
How many Jews were executed in concentration camps during WWII ?|NUM|NN|compound|NON|xxxx|concentration|F
How many Jews were executed in concentration camps during WWII ?|NUM|NNS|pobj|NON|xxxx|camps|F
How many Jews were executed in concentration camps during WWII ?|NUM|NNP|pobj|EVENT|XXXX|WWII|F
What is an annotated bibliography ?|DESC|JJ|amod|NON|xxxx|annotated|F
What is an annotated bibliography ?|DESC|NN|attr|NON|xxxx|bibliography|F
What is the date of Boxing Day ?|NUM|NN|nsubj|NON|xxxx|date|F
What is the date of Boxing Day ?|NUM|NNP|compound|EVENT|Xxxxx|Boxing|F
What is the date of Boxing Day ?|NUM|NNP|pobj|EVENT|Xxx|Day|F
What articles of clothing are tokens in Monopoly ?|ENTY|NNS|nsubj|NON|xxxx|articles|F
What articles of clothing are tokens in Monopoly ?|ENTY|NN|pobj|NON|xxxx|clothing|F
What articles of clothing are tokens in Monopoly ?|ENTY|NNS|attr|NON|xxxx|tokens|F
What articles of clothing are tokens in Monopoly ?|ENTY|NNP|pobj|FAC|Xxxxx|Monopoly|F
Name 11 famous martyrs .|HUM|CD|nummod|CARDINAL|dd|11|F
Name 11 famous martyrs .|HUM|JJ|amod|NON|xxxx|famous|F
Name 11 famous martyrs .|HUM|NNS|dobj|NON|xxxx|martyrs|F
What's the Olympic motto ?|DESC|JJ|amod|NON|Xxxxx|Olympic|F
What's the Olympic motto ?|DESC|NN|nsubj|NON|xxxx|motto|F
What is the origin of the name ' Scarlett ' ?|DESC|NN|nsubj|NON|xxxx|origin|F
What is the origin of the name ' Scarlett ' ?|DESC|NN|pobj|NON|xxxx|name|F
What is the origin of the name ' Scarlett ' ?|DESC|NNP|appos|PERSON|Xxxxx|Scarlett|F
What's the second-most-used vowel in English ?|ENTY|JJ|advmod|ORDINAL|xxxx|second|F
What's the second-most-used vowel in English ?|ENTY|RBS|advmod|NON|xxxx|most|F
What's the second-most-used vowel in English ?|ENTY|VBN|amod|NON|xxxx|used|F
What's the second-most-used vowel in English ?|ENTY|NN|nsubj|NON|xxxx|vowel|F
What's the second-most-used vowel in English ?|ENTY|NNP|pobj|LANGUAGE|Xxxxx|English|F
Who was the inventor of silly putty ?|HUM|NN|attr|NON|xxxx|inventor|F
Who was the inventor of silly putty ?|HUM|JJ|pobj|NON|xxxx|silly|F
Who was the inventor of silly putty ?|HUM|RB|advmod|NON|xxxx|putty|F
What is the highest waterfall in the United States ?|LOC|JJS|amod|NON|xxxx|highest|F
What is the highest waterfall in the United States ?|LOC|NN|attr|NON|xxxx|waterfall|F
What is the highest waterfall in the United States ?|LOC|NNP|compound|GPE|Xxxxx|United|F
What is the highest waterfall in the United States ?|LOC|NNP|pobj|GPE|Xxxxx|States|F
Name a golf course in Myrtle Beach .|ENTY|NN|compound|NON|xxxx|golf|F
Name a golf course in Myrtle Beach .|ENTY|NN|dobj|NON|xxxx|course|F
Name a golf course in Myrtle Beach .|ENTY|NNP|compound|GPE|Xxxxx|Myrtle|F
Name a golf course in Myrtle Beach .|ENTY|NNP|pobj|GPE|Xxxxx|Beach|F
Which two states enclose Chesapeake Bay ?|LOC|CD|nummod|CARDINAL|xxx|two|F
Which two states enclose Chesapeake Bay ?|LOC|NNS|nsubj|NON|xxxx|states|F
Which two states enclose Chesapeake Bay ?|LOC|NNP|compound|LOC|Xxxxx|Chesapeake|F
Which two states enclose Chesapeake Bay ?|LOC|NNP|dobj|LOC|Xxx|Bay|F
What does the abbreviation AIDS stand for ?|ABBR|VBZ|aux|NON|xxxx|does|NF
What does the abbreviation AIDS stand for ?|ABBR|NN|nsubj|NON|xxxx|abbreviation|F
What does the abbreviation AIDS stand for ?|ABBR|NNP|nsubj|NON|XXXX|AIDS|F
What does a spermologer collect ?|ENTY|VBZ|aux|NON|xxxx|does|NF
What does a spermologer collect ?|ENTY|NN|nsubj|NON|xxxx|spermologer|F
How many points make up a perfect fivepin bowling score ?|NUM|JJ|amod|NON|xxxx|many|NF
How many points make up a perfect fivepin bowling score ?|NUM|NNS|nsubj|NON|xxxx|points|F
How many points make up a perfect fivepin bowling score ?|NUM|JJ|amod|NON|xxxx|perfect|F
How many points make up a perfect fivepin bowling score ?|NUM|NN|compound|NON|xxxx|fivepin|F
How many points make up a perfect fivepin bowling score ?|NUM|NN|compound|NON|xxxx|bowling|F
How many points make up a perfect fivepin bowling score ?|NUM|NN|dobj|NON|xxxx|score|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|nsubj|NON|xxxx|company|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|VBZ|relcl|NON|xxxx|manufactures|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|compound|NON|xxxx|video|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|compound|NON|xxxx|game|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|dobj|NON|xxxx|hardware|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|JJ|amod|NON|xxxx|super|F
Which company that manufactures video-game hardware sells the '' super system '' ?|HUM|NN|dobj|NON|xxxx|system|F
How many Community Chest cards are there in Monopoly ?|NUM|JJ|amod|NON|xxxx|many|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNP|compound|NON|Xxxxx|Community|F
How many Community Chest cards are there in Monopoly ?|NUM|NNP|compound|NON|Xxxxx|Chest|F
How many Community Chest cards are there in Monopoly ?|NUM|NNS|nsubj|NON|xxxx|cards|F
How many Community Chest cards are there in Monopoly ?|NUM|RB|advmod|NON|xxxx|there|NF
How many Community Chest cards are there in Monopoly ?|NUM|NNP|pobj|NON|Xxxxx|Monopoly|F
What do Mormons believe ?|DESC|VBP|aux|NON|xx|do|NF
What do Mormons believe ?|DESC|NNS|nsubj|NORP|Xxxxx|Mormons|F
When did the neanderthal man live ?|NUM|VBD|aux|NON|xxx|did|NF
When did the neanderthal man live ?|NUM|NN|compound|NON|xxxx|neanderthal|F
When did the neanderthal man live ?|NUM|NN|nsubj|NON|xxx|man|F
In what religion was Isis the nature goddess ?|ENTY|NN|nsubj|NON|xxxx|religion|F
In what religion was Isis the nature goddess ?|ENTY|VBD|pcomp|NON|xxx|was|NF
In what religion was Isis the nature goddess ?|ENTY|NNP|prep|LOC|Xxxx|Isis|F
In what religion was Isis the nature goddess ?|ENTY|NN|compound|NON|xxxx|nature|F
In what religion was Isis the nature goddess ?|ENTY|NN|appos|NON|xxxx|goddess|F
Where do the adventures of '' The Swiss Family Robinson '' take place ?|LOC|VBP|advmod|NON|xx|do|NF
Where do the adventures of '' The Swiss Family Robinson '' take place ?|LOC|NNS|nsubj|NON|xxxx|adventures|F
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|nsubjpass|NON|xxxx|relative|F
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|pobj|NON|xxxx|racoon|F
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|VBZ|auxpass|NON|xx|is|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|RB|advmod|NON|xxxx|sometimes|NF
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|compound|NON|xxx|cat|F
What relative of the racoon is sometimes known as the cat-bear ?|ENTY|NN|pobj|NON|xxxx|bear|F
How can I register my website in Yahoo for free ?|DESC|MD|aux|NON|xxx|can|NF
How can I register my website in Yahoo for free ?|DESC|PRP$|poss|NON|xx|my|NF
How can I register my website in Yahoo for free ?|DESC|NN|dobj|NON|xxxx|website|F
How can I register my website in Yahoo for free ?|DESC|NNP|pobj|GPE|Xxxxx|Yahoo|F
How can I register my website in Yahoo for free ?|DESC|JJ|amod|NON|xxxx|free|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NN|npadvmod|NON|xxxx|cash|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|JJ|acomp|NON|xxxx|conscious|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|NON|Xxxxx|Colonel|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|PERSON|Xxxxx|Edwin|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|compound|PERSON|X.|L.|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|NNP|nsubj|PERSON|Xxxxx|Drake|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|JJ|attr|ORDINAL|xxxx|first|F
What was cash-conscious Colonel Edwin L. Drake the first to drill ?|ENTY|VB|relcl|NON|xxxx|drill|F
How many people in the world speak French ?|NUM|JJ|amod|NON|xxxx|many|NF
How many people in the world speak French ?|NUM|NNS|nsubj|NON|xxxx|people|F
How many people in the world speak French ?|NUM|NN|pobj|NON|xxxx|world|F
How many people in the world speak French ?|NUM|NNP|dobj|LANGUAGE|Xxxxx|French|F
How many inches over six feet is the Venus de Milo ?|NUM|JJ|amod|NON|xxxx|many|NF
How many inches over six feet is the Venus de Milo ?|NUM|NNS|nsubj|NON|xxxx|inches|F
How many inches over six feet is the Venus de Milo ?|NUM|CD|nummod|NON|xxx|six|F
How many inches over six feet is the Venus de Milo ?|NUM|NNS|pobj|NON|xxxx|feet|F
How many inches over six feet is the Venus de Milo ?|NUM|NNP|compound|NON|Xxxxx|Venus|F
How many inches over six feet is the Venus de Milo ?|NUM|NNP|compound|NON|xx|de|F
How many inches over six feet is the Venus de Milo ?|NUM|NNP|attr|NON|Xxxx|Milo|F
How do they find or choose witnesses to an execution ?|DESC|VBP|aux|NON|xx|do|NF
How do they find or choose witnesses to an execution ?|DESC|VB|conj|NON|xxxx|choose|F
How do they find or choose witnesses to an execution ?|DESC|NNS|dobj|NON|xxxx|witnesses|F
How do they find or choose witnesses to an execution ?|DESC|NN|pobj|NON|xxxx|execution|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|CD|nummod|DATE|ddddx|1920s|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|JJ|amod|NON|xxxx|cowboy|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NN|nsubj|NON|xxxx|star|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|dobj|PERSON|Xxxx|Tony|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|compound|NON|Xxxxx|Wonder|F
What 1920s cowboy star rode Tony the Wonder Horse ?|HUM|NNP|dobj|NON|Xxxxx|Horse|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NN|nsubj|NON|xxxx|cocktail|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NNP|compound|PERSON|Xxxx|John|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NNP|dobj|PERSON|Xxxxx|Doxat|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|VB|xcomp|NON|xxxx|write|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|NN|dobj|NON|xxxx|book|F
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?|ENTY|VBN|acl|NON|Xxxxx|Stirred|F
What ISPs exist in the Caribbean ?|HUM|VBZ|nsubj|NON|XXXx|ISPs|F
What ISPs exist in the Caribbean ?|HUM|NNP|pobj|LOC|Xxxxx|Caribbean|F
How do you ask a total stranger out on a date ?|DESC|VBP|aux|NON|xx|do|NF
How do you ask a total stranger out on a date ?|DESC|JJ|amod|NON|xxxx|total|NF
How do you ask a total stranger out on a date ?|DESC|NN|dobj|NON|xxxx|stranger|F
How do you ask a total stranger out on a date ?|DESC|NN|pobj|NON|xxxx|date|F
What weapon is the mythological character Apollo most proficient with ?|ENTY|NN|nsubj|NON|xxxx|weapon|F
What weapon is the mythological character Apollo most proficient with ?|ENTY|JJ|amod|NON|xxxx|mythological|F
What weapon is the mythological character Apollo most proficient with ?|ENTY|NN|attr|NON|xxxx|character|F
What weapon is the mythological character Apollo most proficient with ?|ENTY|NNP|appos|ORG|Xxxxx|Apollo|F
What weapon is the mythological character Apollo most proficient with ?|ENTY|RBS|advmod|NON|xxxx|most|NF
What weapon is the mythological character Apollo most proficient with ?|ENTY|JJ|amod|NON|xxxx|proficient|F
What country do the Galapagos Islands belong to ?|LOC|NN|dobj|NON|xxxx|country|F
What country do the Galapagos Islands belong to ?|LOC|VBP|aux|NON|xx|do|NF
What country do the Galapagos Islands belong to ?|LOC|NNP|compound|LOC|Xxxxx|Galapagos|F
What country do the Galapagos Islands belong to ?|LOC|NNPS|nsubj|LOC|Xxxxx|Islands|F
What is ethology ?|DESC|NN|nsubj|NON|xxxx|ethology|F
Who was the prophet of the Muslim people ?|HUM|NN|attr|NON|xxxx|prophet|F
Who was the prophet of the Muslim people ?|HUM|JJ|amod|NORP|Xxxxx|Muslim|F
Who was the prophet of the Muslim people ?|HUM|NNS|pobj|NON|xxxx|people|F
Where did the term '' 86ed '' come from ?|DESC|VBD|aux|NON|xxx|did|NF
Where did the term '' 86ed '' come from ?|DESC|NN|nsubj|NON|xxxx|term|F
Where did the term '' 86ed '' come from ?|DESC|NN|appos|NON|ddxx|86ed|F
Who is Snoopy's arch-enemy ?|HUM|NNP|poss|ORG|Xxxxx|Snoopy|F
Who is Snoopy's arch-enemy ?|HUM|NN|compound|NON|xxxx|arch|F
Who is Snoopy's arch-enemy ?|HUM|NN|attr|NON|xxxx|enemy|F
What is the nature of learning ?|DESC|NN|nsubj|NON|xxxx|nature|F
What is the nature of learning ?|DESC|NN|pcomp|NON|xxxx|learning|F
What's the only color Johnny Cash wears on stage ?|ENTY|VBZ|csubj|NON|'x|'s|NF
What's the only color Johnny Cash wears on stage ?|ENTY|JJ|amod|NON|xxxx|only|NF
What's the only color Johnny Cash wears on stage ?|ENTY|NN|compound|NON|xxxx|color|F
What's the only color Johnny Cash wears on stage ?|ENTY|NNP|compound|PERSON|Xxxxx|Johnny|F
What's the only color Johnny Cash wears on stage ?|ENTY|NNP|nsubj|PERSON|Xxxx|Cash|F
What's the only color Johnny Cash wears on stage ?|ENTY|NN|pobj|NON|xxxx|stage|F
What's the term for a young fox ?|ENTY|NN|nsubj|NON|xxxx|term|F
What's the term for a young fox ?|ENTY|JJ|amod|NON|xxxx|young|F
What's the term for a young fox ?|ENTY|NN|pobj|NON|xxx|fox|F
What U.S. state lived under six flags ?|LOC|NNP|compound|GPE|X.X.|U.S.|F
What U.S. state lived under six flags ?|LOC|NN|nsubj|NON|xxxx|state|F
What U.S. state lived under six flags ?|LOC|CD|nummod|CARDINAL|xxx|six|F
What U.S. state lived under six flags ?|LOC|NNS|pobj|NON|xxxx|flags|F
What is the Kashmir issue ?|DESC|NNP|compound|LOC|Xxxxx|Kashmir|F
What is the Kashmir issue ?|DESC|NN|nsubj|NON|xxxx|issue|F
Where is the Loop ?|LOC|NNP|nsubj|NON|Xxxx|Loop|F
What does '' extended definition '' mean and how would one write a paper on it ?|DESC|VBZ|aux|NON|xxxx|does|NF
What does '' extended definition '' mean and how would one write a paper on it ?|DESC|NN|dobj|NON|xxxx|definition|F
What country's capital is Tirana ?|LOC|NN|poss|NON|xxxx|country|F
What country's capital is Tirana ?|LOC|NN|nsubj|NON|xxxx|capital|F
What country's capital is Tirana ?|LOC|NNP|attr|PERSON|Xxxxx|Tirana|F
What is titanium ?|DESC|NN|nsubj|NON|xxxx|titanium|F
Who do Herb and Tootsie live next door to ?|HUM|VBP|aux|NON|xx|do|NF
Who do Herb and Tootsie live next door to ?|HUM|NNP|nsubj|PERSON|Xxxx|Herb|F
Who do Herb and Tootsie live next door to ?|HUM|NNP|conj|PERSON|Xxxxx|Tootsie|F
Who do Herb and Tootsie live next door to ?|HUM|JJ|amod|NON|xxxx|next|F
Who do Herb and Tootsie live next door to ?|HUM|NN|npadvmod|NON|xxxx|door|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|NN|nsubj|NON|xxxx|city|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|JJS|amod|NON|xxxx|oldest|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|NN|dobj|NON|xxxx|relationship|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|NN|pobj|NON|xxxx�xxxx|sister�city|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|NNP|compound|GPE|Xxx|Los|F
Which city has the oldest relationship as a sister�city with Los Angeles ?|LOC|NNP|pobj|GPE|Xxxxx|Angeles|F
What is a caldera ?|DESC|NN|attr|NON|xxxx|caldera|F
Why do people get calluses ?|DESC|VBP|aux|NON|xx|do|NF
Why do people get calluses ?|DESC|NNS|nsubj|NON|xxxx|people|F
Why do people get calluses ?|DESC|NNS|dobj|NON|xxxx|calluses|F
What are the names of the tourist attractions in Reims ?|LOC|NNS|attr|NON|xxxx|names|F
What are the names of the tourist attractions in Reims ?|LOC|NN|compound|NON|xxxx|tourist|F
What are the names of the tourist attractions in Reims ?|LOC|NNS|pobj|NON|xxxx|attractions|F
What are the names of the tourist attractions in Reims ?|LOC|NNP|pobj|GPE|Xxxxx|Reims|F
What are Cushman and Wakefield known for ?|DESC|JJ|acomp|NORP|Xxxxx|Cushman|F
What are Cushman and Wakefield known for ?|DESC|NNP|conj|NON|Xxxxx|Wakefield|F
What are Cushman and Wakefield known for ?|DESC|VBN|acomp|NON|xxxx|known|F
What body of water does the Danube River flow into ?|LOC|NN|nsubj|NON|xxxx|body|F
What body of water does the Danube River flow into ?|LOC|NN|pobj|NON|xxxx|water|F
What body of water does the Danube River flow into ?|LOC|NNP|compound|LOC|Xxxxx|Danube|F
What body of water does the Danube River flow into ?|LOC|NNP|compound|LOC|Xxxxx|River|F
What body of water does the Danube River flow into ?|LOC|NN|dobj|NON|xxxx|flow|F
Who is the founder of Scientology ?|HUM|NN|attr|NON|xxxx|founder|F
Who is the founder of Scientology ?|HUM|NN|pobj|NON|Xxxxx|Scientology|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|VBZ|aux|NON|xxxx|does|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|CD|npadvmod|NON|xxx|six|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|VBN|amod|NON|xxxx|footed|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|NNP|compound|LOC|Xxxxx|Musca|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|NN|nsubj|NON|xxxx|domestica|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|VBZ|advcl|NON|xxxx|enters|F
What does the six-footed Musca domestica become when it enters a house ?|ENTY|NN|dobj|NON|xxxx|house|F
What is the history of skateboarding ?|DESC|NN|nsubj|NON|xxxx|history|F
What is the history of skateboarding ?|DESC|VBG|pcomp|NON|xxxx|skateboarding|F
Who starred in Singing in the Rain and The Singing Nun ?|HUM|VBG|pcomp|NON|Xxxxx|Singing|F
Who starred in Singing in the Rain and The Singing Nun ?|HUM|NN|pobj|NON|Xxxx|Rain|F
Who starred in Singing in the Rain and The Singing Nun ?|HUM|NNP|compound|WORK_OF_ART|Xxxxx|Singing|F
Who starred in Singing in the Rain and The Singing Nun ?|HUM|NNP|conj|WORK_OF_ART|Xxx|Nun|F
How do I make fuel bricks from recycled newspaper ?|DESC|VBP|aux|NON|xx|do|NF
How do I make fuel bricks from recycled newspaper ?|DESC|NN|compound|NON|xxxx|fuel|F
How do I make fuel bricks from recycled newspaper ?|DESC|NNS|dobj|NON|xxxx|bricks|F
How do I make fuel bricks from recycled newspaper ?|DESC|VBN|amod|NON|xxxx|recycled|F
How do I make fuel bricks from recycled newspaper ?|DESC|NN|pobj|NON|xxxx|newspaper|F
What 19th-century painter died in the Marquesas Islands ?|HUM|JJ|amod|DATE|ddxx|19th|F
What 19th-century painter died in the Marquesas Islands ?|HUM|NN|compound|DATE|xxxx|century|F
What 19th-century painter died in the Marquesas Islands ?|HUM|NN|nsubj|NON|xxxx|painter|F
What 19th-century painter died in the Marquesas Islands ?|HUM|NNP|compound|LOC|Xxxxx|Marquesas|F
What 19th-century painter died in the Marquesas Islands ?|HUM|NNPS|pobj|LOC|Xxxxx|Islands|F
The corpus callosum is in what part of the body ?|ENTY|NN|compound|NON|xxxx|corpus|F
The corpus callosum is in what part of the body ?|ENTY|NN|nsubj|NON|xxxx|callosum|F
The corpus callosum is in what part of the body ?|ENTY|NN|pobj|NON|xxxx|part|F
The corpus callosum is in what part of the body ?|ENTY|NN|pobj|NON|xxxx|body|F
How do I log on to home page at Headquarters U.S. European Command ?|DESC|VBP|aux|NON|xx|do|NF
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NN|compound|NON|xxxx|home|F
How do I log on to home page at Headquarters U.S. European Command ?|DESC|NN|pobj|NON|xxxx|page|F
